# Immutable image index inventory resolved live on 2026-09-07. Platform columns contain manifest digests, not config digests.
# reference	required-platforms	linux-amd64	linux-arm64	purpose
aldanial/cloc:2.08@sha256:f4159515ece7b8d7c3729db25ef613b2f9c3e8c368f772ae5348bd6452bd57b3	linux/amd64	sha256:f4159515ece7b8d7c3729db25ef613b2f9c3e8c368f772ae5348bd6452bd57b3	-	repository metrics
alpine/socat:1.7.4.3-r0@sha256:acddcaba75c107cf807d1131788e931163d2fa778bc229ff97b32ca85954842c	linux/amd64	sha256:cea314c6064fe7b88f7bce31a310c18dc03db9e8a1149c9db7212dff79be22d8	sha256:ac9c77fbf3e616c49fcf3384bed33dab57610fc7a257a3e07536fc0111673c8c	Testcontainers socat helper
alpine:3.17@sha256:8fc3dacfb6d69da8d44e42390de777e48577085db99aa4e4af35f483eb08b989	linux/amd64	sha256:920690a8d840be3c20bf5205001bc913be3a4d8c39ea191bbdaf8e187ffcb180	sha256:4555e30014d0ef2214aa1ce5391ff46354519f55f33b4c6e5ed9aef4f3f1fa07	Testcontainers tiny image
alpine:3.22@sha256:14358309a308569c32bdc37e2e0e9694be33a9d99e68afb0f5ff33cc1f695dce	linux/amd64,linux/arm64	sha256:7c8cb692ae09657cbc4a3f3cbd0e8d5a2690ba38386aaaf252dbb060bf5eb2e6	sha256:2c9d26f410d032d5b1525aa8a873e238b05b90c4ae8618743d4311f0cc827e37	CI utility and R5 cache init
docker/dockerfile:1.7@sha256:a57df69d0ea827fb7266491f2813635de6f17269be881f696fbfdf2d83dda33e	linux/amd64,linux/arm64	sha256:b5f3b260a9678e1d83d2fce86eeddf79420b79147eaba2a25986f47133d73720	sha256:c8678869a83fab70232869ba24acc1c0be661f4d65135c0eeacb6a8e78420fdd	Dockerfile frontend
eclipse-temurin:21-jre-noble@sha256:96975602e131485862eb8cd32927face8a06d7591a5e865944b634a701d9df72	linux/amd64,linux/arm64	sha256:569dddfa2828b2ce5fcf0e0d3d3bdf67c64fd608bb5de6598c2874daf28fb8cd	sha256:7edcedf5708ef654e50a4b176681e4ffccbd4063131097470020bc15e4cf2834	application runtime
maven:3.9-eclipse-temurin-21@sha256:8f6ac126f7810bb5549c4cd122d2bf0e9cda5bdeb0838aa928f09e779fd8bef8	linux/amd64,linux/arm64	sha256:edf045813426842617b1667456ddec0026885146465e890b897655d877ba3386	sha256:6121cf54876c8bf54fee0d656cb9402ceb766a16fcf47c9a96b51a7a01c80d5c	application and documentation build
mcr.microsoft.com/playwright:v1.55.0-noble@sha256:b27e719ecbfef153e13fd24e8341736733bf2658b229677eb21ff57ff5d7fb29	linux/amd64	sha256:ffc33305f7b4b04057ae4a0caa70aad4fde87454fb403a1a22e7f931707dfcf9	sha256:7e20a8225950eb93a9d306a917b05d822a68a67333973e254f1b0cd86c0f3742	browser verification
moby/buildkit:buildx-stable-1@sha256:28a898719c18a33f4e8000685287fa36fd0dd9560c6440227d3a732d79bb41d8	linux/amd64	sha256:040d34121c27906c4ff9ac152a30d52bf2c5d328d3bb748916bb3d2743c02528	sha256:5a8cd84cb3fcfd082789a08f92bd36f8e745c6231edd78e24a3bf34fd471a823	Buildx worker
node:24-alpine@sha256:e67514e5d0f6c46656005e1b693b2ec9d52e80b641307de684d4a015ba7a4eaf	linux/amd64,linux/arm64	sha256:4caaaf42195bcd6f6f3559a413b20cb8f8ad089e231ee874cf7701643966689f	sha256:d3724e44ee368606d753e0027eb8d2a94fc1f275e5d9e4620178a12edb655f5f	frontend build
pgvector/pgvector:0.8.6-pg17@sha256:cf134a767f474095eeba57e0117be8e568e011a63f33fbf252f14c9b760f8e6f	linux/amd64,linux/arm64	sha256:dca0d688bbb31d3f851502ffcb9c7791387b4fcc544ae434dab41761e5ece317	sha256:de5bb95ded567f98e342a29f188f8053b2e8d344cb9ccd52cbdfe15f720cfde7	R4 and R5 vector database
plantuml/plantuml:1.2026.6@sha256:47870c1f76cfb3747bc7090bfe83013a4e3105b5a0bb1515e2baf5d3e2b3ee9d	linux/amd64	sha256:a3463f04abaaba88e783c6eca32ca42444470264baa6ac7ec2896fe0c8c63488	sha256:e4d906b054a4e168adc5c34c5683733934072a041c7b7d804cc22c9423f521ff	diagram rendering
postgres:17-alpine@sha256:18cfe3ef5e6815560c98237d6216d1e5119702fb0f3894c8785dd58b8bbe5d73	linux/amd64,linux/arm64	sha256:7456ef82e5f5bc43d997f4781bbd7c0d6389bff397564649a356e206ba473aee	sha256:dfc2780980fe6ca2d158bfe4342660db5e4c6431fb969088e543430d09f8d0f2	application database
python:3.13-alpine@sha256:7415fbc3c9e4979cc717d92377ab2bc7b2b4a2af1ac03cc52b5f3f88efedaf3a	linux/amd64	sha256:46ee549c88617e9bc8acb843a326f1a5c0fa5608d7f9703509efe6d53b55f318	sha256:e07618c94aecfbf03999290c5732c3b06d0c51982daad2e0d528632b63a60452	planned metrics helper
redocly/cli:2.51.2@sha256:2dcc3939c2180e1da96db06a40aa079cb32c4ef3bac8b35ff061f2140322da64	linux/amd64	sha256:381d870c676ef984397913fe657ca07e9b5d15507b31be60d5602ecc08018a8b	sha256:c08fe69146aa566a0f547f3fe0a488a9a53784e09ae54a1904fdabcb149012e3	HTTP reference rendering
testcontainers/ryuk:0.14.0@sha256:7c1a8a9a47c780ed0f983770a662f80deb115d95cce3e2daa3d12115b8cd28f0	linux/amd64	sha256:f0456560ea5b4acdbed0da0efc33b5f9dd6bc1e59f2337106826dcb5b0b0e981	sha256:79e2fbedad76001e8ac2f64556a729de503531be9dad9e2ff6fc469006b2e93c	Testcontainers cleanup
testcontainers/sshd:1.3.0@sha256:c50c0f59554dcdb2d9e5e705112144428ae9d04ac0af6322b365a18e24213a6a	linux/amd64	sha256:7dc5a534990619c4c785003dc19352ad651a40fb910ea69d24c24b1a93c3e6bc	sha256:4a7116ef89998e5e67a0cec93da83ec463309a99af878afafd2fe2b590e763dc	Testcontainers SSH helper
testcontainers/vnc-recorder:1.3.0@sha256:97fba4daa01bdb900a0716e48765e32c39e26d9357522a5b6004da7799f0822e	linux/amd64	sha256:c755ea03ceb77102a42b1a24f131170b35e3218b6df09b52c9cd1f519fd8ba28	sha256:b134b2698ded3f0f03827061150e17348789dceaf3e5fef242897a21c9528707	Testcontainers VNC helper
